RR1. True: 13, Predicted: 13 (Passed)
RR2. True: 5, Predicted: 5 (Passed)
RR3. True: 6, Predicted: 6 (Passed)
RR4. True: 1, Predicted: 1 (Passed)
RR5. True: 7, Predicted: 6 (Passed)
RR6. True: 3, Predicted: 3 (Passed)
RR7. True: 8, Predicted: 8 (Passed)
RR8. True: 0, Predicted: 0 (Passed)
RR9. True: 11, Predicted: 10 (Passed)
RR10. True: 8, Predicted: 7 (Passed)
RR1. True: 3, Predicted: 9 (Failed) # IMAGE DATA NOT PROPER
RR11. True: 3, Predicted: 3 (Passed)
RR2. True: 13, Predicted: 9 (Failed) # IMAGE DATA NOT PROPER
RR12. True: 10, Predicted: 10 (Passed) # IMAGE DATA NOT PROPER
RR13. True: 4, Predicted: 4 (Passed)
RR14. True: 9, Predicted: 9 (Passed)
RR15. True: 14, Predicted: 15 (Passed)
RR16. True: 10, Predicted: 9 (Passed)
RR17. True: 3, Predicted: 4 (Passed)
RR3. True: 11, Predicted: 9 (Failed)
RR18. True: 14, Predicted: 14 (Passed)
RR19. True: 10, Predicted: 10 (Passed)
RR20. True: 0, Predicted: 0 (Passed)
RR21. True: 5, Predicted: 5 (Passed)
RR22. True: 2, Predicted: 2 (Passed)
R Accuracy: 88.0%
R P Accuracy: 95.45%

TR23. True: 7, Predicted: 8 (Passed)
TU4. True: 14, Predicted: 14 (Failed)
TR24. True: 6, Predicted: 7 (Passed)
TR25. True: 8, Predicted: 8 (Passed)
TU1. True: 0, Predicted: 9 (Passed) # IMAGE DATA NOT PROPER
TU5. True: 0, Predicted: 1 (Failed)
TR6. True: 3, Predicted: 0 (Failed)
TR26. True: 8, Predicted: 9 (Passed)
TU2. True: 1, Predicted: 8 (Passed)
TU3. True: 0, Predicted: 8 (Passed)
TU7. True: 8, Predicted: 8 (Failed)
TR27. True: 2, Predicted: 2 (Passed)
TR8. True: 0, Predicted: 9 (Failed)
TR28. True: 1, Predicted: 2 (Passed)
TR29. True: 11, Predicted: 11 (Passed)
TU4. True: 10, Predicted: 8 (Passed)
TU5. True: 1, Predicted: 5 (Passed)
TU9. True: 13, Predicted: 12 (Failed)
TU6. True: 14, Predicted: 7 (Passed)
TR30. True: 1, Predicted: 0 (Passed)
TR31. True: 4, Predicted: 3 (Passed)
TR32. True: 4, Predicted: 4 (Passed)
TR33. True: 1, Predicted: 0 (Passed)
TU7. True: 3, Predicted: 8 (Passed)
TU8. True: 1, Predicted: 8 (Passed)
T Accuracy: 76.0%
T P Accuracy: 75.0%
